Dataset,SRR,Density full (loops/Mb),v0 eff (kb),T (kb),Density 200M,SD 200M,n 200M,Density 100M,SD 100M,n 100M,Density 50M,SD 50M,n 50M,Density 25M,SD 25M,n 25M,Density 10M,SD 10M,n 10M,Density 1M,SD 1M,n 1M
hESC-DSG-DpnII-R1-T1,SRR13601502,11.11,3.0,90,11.11,0.0,4,11.11,0.0,5,11.67,0.72,10,11.6,0.68,20,11.47,0.73,20,11.41,2.39,25
hESC-DSG-DpnII-R2-T1,SRR13601511,10.0,3.0,100,10.0,0.0,4,10.0,0.0,5,10.22,0.47,10,10.18,0.6,20,10.16,0.83,20,10.49,1.58,25
HFFc6-DdeI-DpnII-R1-T1,SRR13601574,7.69,0.6,130,7.69,0.0,4,7.69,0.0,5,7.69,0.0,10,7.82,0.26,20,7.79,0.23,20,7.82,0.69,25
HFFc6-DdeI-DpnII-R3-T1,SRR13601583,9.09,0.6,110,9.09,0.0,4,9.09,0.0,5,8.7,0.82,10,8.66,0.8,20,8.31,0.97,20,7.86,1.01,25
hESC-FA-DpnII-R1-T1,SRR13601520,8.33,8.5,120,8.36,0.57,4,8.08,0.35,5,8.52,0.7,10,8.1,0.94,20,8.77,1.09,20,9.02,2.42,25
hESC-FA-DpnII-R1-T2,SRR13601529,8.33,9.6,120,7.69,0.0,4,7.97,0.63,5,7.69,0.73,10,7.97,1.01,20,8.28,1.61,20,8.61,3.05,25
HFFc6-DSG-DpnII-R1-T1,SRR13601592,7.69,2.0,130,7.18,0.59,4,7.49,0.46,5,7.55,0.51,10,7.67,0.5,20,7.54,0.76,20,6.78,1.11,25
HFFc6-DSG-DpnII-R2-T1,SRR13601599,9.09,1.5,110,8.6,0.97,4,8.7,0.87,5,8.12,1.08,10,8.57,1.07,20,8.5,1.19,20,8.86,1.65,25
HMEC,SRR1658680,9.09,3.0,110,8.71,0.44,4,8.64,0.41,5,8.33,0.0,10,8.52,0.34,20,8.56,0.36,20,8.52,0.95,25
IMR90,SRR1658676,7.14,6.5,140,7.14,0.0,4,7.36,0.3,5,7.25,0.69,10,7.61,0.89,20,7.36,1.49,20,7.32,2.26,25
KBM7,SRR1658708,5.56,13.0,180,5.56,0.25,4,5.69,0.18,5,5.54,0.3,10,5.5,0.39,20,5.59,0.65,20,,,0
K562,SRR1658694,8.33,4.0,120,8.33,0.0,4,8.08,0.35,5,8.14,0.31,10,8.11,0.39,20,7.95,0.59,20,8.12,1.49,25
