Sample,SRR,Loop size full (kb),Loop size 200M (kb),SD 200M (kb),Peak slope 200M,Peak slope SD 200M,n 200M,Loop size 100M (kb),SD 100M (kb),Peak slope 100M,Peak slope SD 100M,n 100M,Loop size 50M (kb),SD 50M (kb),Peak slope 50M,Peak slope SD 50M,n 50M,Loop size 25M (kb),SD 25M (kb),Peak slope 25M,Peak slope SD 25M,n 25M,Loop size 10M (kb),SD 10M (kb),Peak slope 10M,Peak slope SD 10M,n 10M,Loop size 1M (kb),SD 1M (kb),Peak slope 1M,Peak slope SD 1M,n 1M
hESC-DSG-DpnII-R1-T1,SRR13601502,71.0,70.5,0.6,-0.739,0.0,4,70.4,1.5,-0.739,0.002,5,71.4,1.8,-0.738,0.001,10,71.1,2.7,-0.739,0.002,20,71.2,5.0,-0.738,0.004,20,74.6,10.2,-0.73,0.01,25
hESC-DSG-DpnII-R2-T1,SRR13601511,75.0,74.0,0.0,-0.751,0.001,4,74.2,0.4,-0.75,0.001,5,73.8,1.9,-0.75,0.002,10,74.2,3.4,-0.752,0.003,20,75.0,5.8,-0.75,0.005,20,71.9,14.0,-0.744,0.014,25
HFFc6-DdeI-DpnII-R1-T1,SRR13601574,104.0,103.5,0.6,-0.85,0.0,4,103.4,1.1,-0.85,0.002,5,105.0,1.4,-0.848,0.002,10,104.6,2.9,-0.848,0.004,20,104.5,4.2,-0.848,0.005,20,112.6,16.4,-0.845,0.015,25
HFFc6-DdeI-DpnII-R3-T1,SRR13601583,102.0,101.2,1.3,-0.887,0.001,4,101.8,0.8,-0.887,0.002,5,101.9,1.2,-0.887,0.002,10,101.2,3.0,-0.887,0.003,20,101.2,4.7,-0.888,0.006,20,100.1,12.3,-0.881,0.013,25
hESC-FA-DpnII-R1-T1,SRR13601520,74.0,73.8,1.3,-0.652,0.002,4,75.2,1.5,-0.654,0.001,5,74.3,4.4,-0.653,0.003,10,73.8,7.6,-0.652,0.004,20,73.9,11.6,-0.654,0.005,20,78.2,22.4,-0.637,0.018,25
hESC-FA-DpnII-R1-T2,SRR13601529,82.0,82.0,1.4,-0.632,0.001,4,80.8,3.8,-0.634,0.002,5,81.7,4.1,-0.631,0.004,10,82.4,9.7,-0.632,0.006,20,84.0,9.6,-0.63,0.006,20,86.0,24.5,-0.614,0.018,25
HFFc6-DSG-DpnII-R1-T1,SRR13601592,106.0,104.8,1.0,-0.817,0.001,4,105.0,1.6,-0.817,0.001,5,105.1,2.4,-0.818,0.002,10,106.2,2.4,-0.817,0.003,20,105.4,4.4,-0.817,0.005,20,102.9,11.4,-0.812,0.012,25
HFFc6-DSG-DpnII-R2-T1,SRR13601599,100.0,99.5,1.0,-0.899,0.0,4,99.0,1.0,-0.9,0.002,5,100.0,2.2,-0.899,0.002,10,99.9,3.8,-0.897,0.002,20,99.6,5.7,-0.899,0.006,20,102.2,17.3,-0.891,0.014,25
HMEC,SRR1658680,100.0,99.8,1.3,-0.775,0.002,4,98.4,3.6,-0.773,0.001,5,97.9,3.7,-0.776,0.003,10,98.7,7.7,-0.774,0.004,20,101.1,10.9,-0.773,0.005,20,101.8,22.1,-0.763,0.012,25
IMR90,SRR1658676,91.0,89.8,0.5,-0.78,0.0,4,90.0,1.9,-0.779,0.001,5,91.2,2.9,-0.78,0.002,10,90.2,4.1,-0.779,0.003,20,88.0,7.6,-0.779,0.004,20,91.7,19.8,-0.769,0.012,25
KBM7,SRR1658708,100.0,99.2,5.2,-0.667,0.0,4,99.0,1.6,-0.667,0.001,5,99.1,6.1,-0.668,0.003,10,102.0,11.5,-0.665,0.004,20,99.4,13.7,-0.665,0.005,20,,,,,0
K562,SRR1658694,89.0,88.8,1.7,-0.81,0.001,4,89.4,1.5,-0.81,0.001,5,89.7,2.4,-0.811,0.002,10,88.9,4.7,-0.81,0.002,20,88.7,9.4,-0.81,0.003,20,92.2,17.4,-0.801,0.009,25
